time,x,theta
3.34,-0.222807,0.450186
3.35,-0.220601,0.435482
3.36,-0.218494,0.421533
3.37,-0.216486,0.408321
3.38,-0.214577,0.395829
3.39,-0.212766,0.38404
3.4,-0.211052,0.372938
3.41,-0.209434,0.362508
3.42,-0.207913,0.352733
3.43,-0.206487,0.343601
3.44,-0.205154,0.335097
3.45,-0.203914,0.327208
3.46,-0.202767,0.319923
3.47,-0.20171,0.31323
3.48,-0.200743,0.307119
3.49,-0.199865,0.30158
3.5,-0.199075,0.296605
3.51,-0.198373,0.292185
3.52,-0.197757,0.288312
3.53,-0.197227,0.284982
3.54,-0.196782,0.282188
3.55,-0.196422,0.279927
3.56,-0.196147,0.278193
3.57,-0.195955,0.276985
3.58,-0.195848,0.2763
3.59,-0.195824,0.276137
3.6,-0.195884,0.276496
3.61,-0.196027,0.277378
3.62,-0.196255,0.278784
3.63,-0.196566,0.280716
3.64,-0.196963,0.283178
3.65,-0.197444,0.286174
3.66,-0.198012,0.289709
3.67,-0.198665,0.293788
3.68,-0.199406,0.298418
3.69,-0.200235,0.303607
3.7,-0.201152,0.309363
3.71,-0.20216,0.315696
3.72,-0.203258,0.322615
3.73,-0.204448,0.330131
3.74,-0.205731,0.338256
3.75,-0.207108,0.347002
3.76,-0.208581,0.356383
3.77,-0.210149,0.366413
3.78,-0.211815,0.377106
3.79,-0.213578,0.388477
3.8,-0.215441,0.400544
3.81,-0.217404,0.413322
3.82,-0.219467,0.426829
3.83,-0.22163,0.441082
3.84,-0.223894,0.456101
3.85,-0.22626,0.471903
3.86,-0.228725,0.488508
3.87,-0.23129,0.505936
3.88,-0.233953,0.524205
3.89,-0.236712,0.543337
3.9,-0.239566,0.56335
3.91,-0.242511,0.584265
3.92,-0.245545,0.606101
3.93,-0.248661,0.628879
3.94,-0.251857,0.652618
3.95,-0.255125,0.677337
3.96,-0.258459,0.703056
3.97,-0.261852,0.729793
3.98,-0.265294,0.757565
3.99,-0.268774,0.786392
4,-0.272283,0.81629
4.01,-0.275808,0.847276
4.02,-0.279335,0.879367
4.03,-0.282849,0.912579
4.04,-0.286333,0.946929
4.05,-0.289769,0.98243
4.06,-0.293139,1.0191
4.07,-0.296422,1.05696
4.08,-0.299595,1.09601
4.09,-0.302635,1.13628
4.1,-0.305516,1.17779
4.11,-0.308212,1.22055
4.12,-0.310694,1.26458
4.13,-0.312933,1.30991
4.14,-0.314898,1.35655
4.15,-0.316556,1.40453
4.16,-0.317874,1.45388
4.17,-0.318815,1.50463
4.18,-0.319344,1.5568
4.19,-0.319423,1.61043
4.2,-0.319013,1.66556
4.21,-0.318074,1.72223
4.22,-0.316567,1.78049
4.23,-0.314449,1.84038
4.24,-0.311681,1.90194
4.25,-0.308222,1.96523
4.26,-0.304032,2.0303
4.27,-0.299075,2.0972
4.28,-0.293316,2.16598
4.29,-0.286724,2.23668
4.3,-0.279277,2.30933
4.31,-0.270958,2.38394
4.32,-0.261764,2.46052
4.33,-0.251704,2.53904
4.34,-0.240804,2.61942
4.35,-0.229113,2.70157
4.36,-0.216701,2.78533
4.37,-0.203663,2.87048
4.38,-0.190121,2.95675
4.39,-0.17622,3.04382
4.4,-0.162124,3.13132
4.41,-0.148007,-3.06431
4.42,-0.134046,-2.97711
4.43,-0.120412,-2.89063
4.44,-0.10726,-2.80521
4.45,-0.0947218,-2.72115
4.46,-0.0829065,-2.63868
4.47,-0.0718955,-2.55798
4.48,-0.0617452,-2.47917
4.49,-0.0524897,-2.40232
4.5,-0.0441437,-2.32746
4.51,-0.0367061,-2.25462
4.52,-0.0301635,-2.18376
4.53,-0.0244929,-2.11486
4.54,-0.0196643,-2.04787
4.55,-0.0156427,-1.98274
4.56,-0.0123896,-1.91943
4.57,-0.00986446,-1.85787
4.58,-0.00802541,-1.79801
4.59,-0.00683014,-1.73981
4.6,-0.0062364,-1.6832
4.61,-0.00620238,-1.62816
4.62,-0.00668702,-1.57462
4.63,-0.00765023,-1.52256
4.64,-0.00905305,-1.47194
4.65,-0.0108578,-1.42273
4.66,-0.013028,-1.37488
4.67,-0.0155287,-1.32839
4.68,-0.0183262,-1.28322
4.69,-0.0213886,-1.23934
4.7,-0.024685,-1.19674
4.71,-0.0281864,-1.1554
4.72,-0.031865,-1.1153
4.73,-0.0356948,-1.07642
4.74,-0.039651,-1.03875
4.75,-0.0437105,-1.00226
4.76,-0.0478516,-0.966953
4.77,-0.0520541,-0.932802
4.78,-0.0562992,-0.899794
4.79,-0.0605695,-0.867915
4.8,-0.064849,-0.83715
4.81,-0.0691232,-0.807484
4.82,-0.0733785,-0.7789
4.83,-0.077603,-0.751383
4.84,-0.0817858,-0.724916
4.85,-0.085917,-0.699483
4.86,-0.089988,-0.675066
4.87,-0.093991,-0.651649
4.88,-0.0979195,-0.629212
4.89,-0.101767,-0.60774
4.9,-0.10553,-0.587213
4.91,-0.109203,-0.567613
4.92,-0.112782,-0.548922
4.93,-0.116265,-0.531123
4.94,-0.11965,-0.514196
4.95,-0.122933,-0.498125
4.96,-0.126115,-0.482891
4.97,-0.129194,-0.468478
4.98,-0.132168,-0.454867
4.99,-0.135039,-0.442044
5,-0.137805,-0.429992
5.01,-0.140467,-0.418696
5.02,-0.143024,-0.40814
5.03,-0.145478,-0.398312
5.04,-0.147828,-0.389197
5.05,-0.150075,-0.380784
5.06,-0.15222,-0.37306
5.07,-0.154264,-0.366014
5.08,-0.156206,-0.359636
5.09,-0.158048,-0.353917
5.1,-0.15979,-0.348849
5.11,-0.161433,-0.344423
5.12,-0.162978,-0.340633
5.13,-0.164424,-0.337475
5.14,-0.165772,-0.334941
5.15,-0.167023,-0.33303
5.16,-0.168176,-0.331738
5.17,-0.169232,-0.331062
5.18,-0.170191,-0.331003
5.19,-0.171053,-0.331559
5.2,-0.171818,-0.332733
5.21,-0.172486,-0.334525
5.22,-0.173056,-0.336939
5.23,-0.173527,-0.339977
5.24,-0.173901,-0.343646
5.25,-0.174175,-0.347951
5.26,-0.17435,-0.352897
5.27,-0.174425,-0.358493
5.28,-0.174398,-0.364747
5.29,-0.174271,-0.371669
5.3,-0.17404,-0.379267
5.31,-0.173707,-0.387554
5.32,-0.173271,-0.396541
5.33,-0.172729,-0.406241
5.34,-0.172083,-0.416667
